Transport,route_name,route_link,Date,busname,bustype,departing_time,duration,bp_time,star_rating,price,seats_available
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Atmaram Gobus,VE A/C Sleeper (2+1),21:00,10h 30m,07:30,4.6,INR 555,20 Seats available
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Atmaram Gobus,VE A/C Sleeper (2+1),22:30,10h 15m,08:45,4.6,INR 606,23 Seats available
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),21:45,10h 50m,08:35,4.5,464,26 Seats available
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Ashray Vip Yellows,A/C Sleeper (2+1),20:30,11h 30m,08:00,4.5,648,17 Seats available
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Ashray Amrutyog,A/C Sleeper (2+1),22:00,11h 30m,09:30,4.5,554,14 Seats available
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Ashray Travels,Bharat Benz A/C Sleeper (2+1),21:00,11h 30m,08:30,4.5,554,28 Seats available
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),23:05,10h 25m,09:30,4.2,INR 800,24 Seats available
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Ashray Travels,Non A/C Seater / Sleeper (2+1),21:15,10h 30m,07:45,4.4,INR 399,34 Seats available
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Atmaram Gobus,NON A/C Sleeper (2+1),20:30,10h 30m,07:00,4.3,INR 500,18 Seats available
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),20:00,11h 15m,07:15,4.3,INR 399,25 Seats available
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Ashray Divine,NON A/C Sleeper (1+2),19:45,11h 00m,06:45,4.1,INR 499,19 Seats available
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Prasanna - Purple Bus,VE A/C Sleeper (2+1),22:30,11h 00m,09:30,4.2,INR 920,24 Seats available
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,IntrCity SmartBus,AC Sleeper (2+1),21:00,10h 40m,07:40,4.1,INR 500,15 Seats available
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),22:05,09h 56m,08:01,4.1,INR 700,24 Seats available
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Ashray Pearl,Volvo Multi-Axle A/C Sleeper (2+1),22:30,10h 00m,08:30,4.0,INR 799,28 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,Kadamba Transport Corporation Limited (KTCL) - 89820,A/C Sleeper (2+1),19:00,12h 00m,07:00,3.4,INR 800,12 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,Atmaram Gobus,VE A/C Sleeper (2+1),22:30,10h 40m,09:10,4.8,INR 555,28 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,Atmaram Gobus,VE A/C Sleeper (2+1),21:32,08h 50m,06:22,4.7,INR 606,20 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,AdShreyash Travels,A/C Sleeper (2+1),20:00,10h 00m,06:00,3.9,477,16 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),21:35,12h 55m,10:30,4.4,565,28 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,Ashray Travels,Bharat Benz A/C Sleeper (2+1),22:30,11h 30m,10:00,4.5,INR 575,22 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),19:00,11h 30m,06:30,4.5,INR 399,21 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,IntrCity SmartBus,AC Sleeper (2+1),21:00,10h 05m,07:05,4.4,INR 599,22 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,IntrCity SmartBus,AC Sleeper (2+1),19:30,10h 05m,05:35,4.4,INR 599,18 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,Ashray Travels,Non A/C Seater / Sleeper (2+1),20:00,13h 00m,09:00,4.3,INR 350,33 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,Atmaram Travels(M.Dev),A/C Sleeper (2+1),22:00,09h 45m,07:45,4.4,INR 700,24 Seats available
